Kab/Kota 17 tanpa provinsi,Belanja Pemerintah Menurut Kab/Kota (Ribu Rupiah),,,
,2020,2021,2022,2023
Ogan Komering Ulu,1490566527,1.40162E+12,1474665552,1233792105
Ogan Komering Ilir,2398524592,2.2374E+12,2284587391,2134483099
Muara Enim,2019912536,2.3348E+12,2873980315,2535788021
Lahat,1821413388,2.09928E+12,2153013305,1994495505
Musi Rawas,1800644785,1.87693E+12,1816357213,1698725333
Musi Banyuasin,2923048402,3.60625E+12,3162086244,3285531946
Banyuasin,2047785039,2.33284E+12,2194084020,1950409321
OKU Selatan,1337273694,1.13055E+12,1294968413,1239752929
OKU Timur,1900180288,1.79292E+12,1956693870,1833635003
Ogan Ilir,1350970193,1.38283E+12,1251197078,1108497402
Empat Lawang,862668311.8,1.00328E+12,1228541246,908458408.2
Penukal Abab Lematang Ilir,880808605.4,1.20774E+12,1282212371,1288612744
Musi Rawas Utara,917760731.1,7.58589E+11,986785015.8,1038440786
Palembang,3220957280,3.32523E+12,3893843912,3471088557
Prabumulih,1053411752,9.49081E+11,975124513.5,891269371
Pagar Alam,790690455.8,7.3462E+11,885079460.2,720087414.5
Lubuk Linggau,974277297.7,8.5722E+11,1002833857,876387520.3
,,,,
Catatan,Sumber: Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sumatera Selatan<br />,,,
