Kab/Kota 17 tanpa provinsi,,
,Jarak Ibukota Berdasarkan Tipe Jarak (km),
,Jarak Tarik Lurus,Jarak Jalan
,2025,2025
Ogan Komering Ulu,144.23,210
Ogan Komering Ilir,48.29,67
Muara Enim,131.23,184
Lahat,159.51,226
Musi Rawas,195,296
Musi Banyuasin,101.44,125
Banyuasin,38.33,46
OKU Selatan,186.83,271
OKU Timur,159.93,212
Ogan Ilir,32.92,40
Empat Lawang,194.63,303
Penukal Abab Lematang Ilir,103.21,167
Musi Rawas Utara,207.11,379
Palembang,1.72,3
Prabumulih,65.49,84
Pagar Alam,207.26,291
Lubuk Linggau,215.27,320
