Kabupaten/Kota,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Rumah Sakit,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Rumah Sakit Bersalin,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Poliklinik,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Puskesmas,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Puskesmas Pembantu,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Apotek
Ogan Komering Ulu,4,–,6,19,41,16
Ogan Komering Ilir,3,–,30,33,87,22
Muara Enim,6,–,12,22,82,13
Lahat,1,–,9,33,39,10
Musi Rawas,1,–,13,20,80,13
Musi Banyuasin,3,–,12,29,113,18
Banyu Asin,6,–,23,35,74,18
Ogan Komering Ulu Selatan,1,–,4,19,28,9
Ogan Komering Ulu Timur,4,–,19,22,57,27
Ogan Ilir,3,–,6,26,17,8
Empat Lawang,2,–,2,10,10,3
Penukal Abab Lematang Ilir,3,–,4,9,22,4
Musi Rawas Utara,1,–,1,9,52,4
Kota Palembang,23,10,52,40,51,76
Kota Prabumulih,4,–,8,9,20,13
Kota Pagar Alam,2,–,4,7,14,7
Kota Lubuklinggau,6,2,12,10,22,27
Sumatera Selatan,73,12,217,352,809,288
,,,,,,
Keterangan,,,,,,
1 Desa pada tabel ini termasuk Unit Permukiman Transmigrasi (UPT) yang masih dibina oleh kementerian terkait dan nagari di Provinsi Sumatera Barat/ Villages in this table include Transmigration Settlement Unit which is still fostered by the relevant ministries and the nagari in the Province of Sumatera Barat ,,,,,,
