Kabupaten/Kota 17,,,,,,,,,,
,Jumlah Kasus Penyakit (Kasus),,,,,,,,,
,Malaria (Suspek),TB Paru,Pneumonia,Kusta,Tetanus,Campak,Diare,DBD,AIDS,IMS
,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
Sumatera Selatan,18784,9506,5484,176,4,136,90094,2359,2026,2420
Ogan Komering Ulu,3182,258,242,9,-,10,2696,21,52,18
Ogan Komering Ilir,-,701,1244,13,1,1,7050,87,133,28
Muara Enim,6266,742,1056,19,-,5,9266,182,80,56
Lahat,506,320,-,4,-,1,2574,154,35,3
Musi Rawas,2153,493,-,1,-,6,3235,66,20,14
Musi Banyuasin,2140,762,21,19,-,-,9038,171,61,96
Banyuasin,26,851,382,37,-,27,10022,295,79,137
Ogan Komering Ulu Selatan,832,171,-,14,-,-,2531,33,6,1
Ogan Komering Ulu Timur,700,438,636,8,-,-,3790,196,44,28
Ogan Ilir,51,384,225,7,3,1,4801,102,60,10
Empat Lawang,153,301,-,6,-,3,1780,20,10,10
Pali,618,260,20,14,-,-,2421,101,15,19
Musi Rawas Utara,904,276,-,-,-,1,759,27,1,-
Palembang,259,2757,1529,23,-,73,24784,435,1319,1882
Prabumulih,55,422,9,2,-,3,1356,242,56,118
Pagar Alam,-,100,120,-,-,4,1295,82,19,-
Lubuk Linggau,939,270,-,-,-,1,2696,145,36,-
