Kabupaten/Kota,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,Jumlah Klinik Pratama,Jumlah Posyandu
Ogan Komering Ulu,4,3,7,11,16,363
Ogan Komering Ilir,3,–,17,16,22,820
Muara Enim,6,1,7,15,25,411
Lahat,2,–,11,24,15,454
Musi Rawas,2,–,12,7,23,313
Musi Banyuasin,3,–,6,23,34,514
Banyu Asin,6,–,12,21,34,720
Ogan Komering Ulu Selatan,1,–,7,12,6,323
Ogan Komering Ulu Timur,4,–,11,11,40,658
Ogan Ilir,3,–,8,17,13,341
Empat Lawang,2,–,4,6,6,177
Penukal Abab Lematang Ilir,1,–,1,8,2,127
Musi Rawas Utara,1,–,7,1,3,142
Kota Palembang,23,9,–,42,195,946
Kota Prabumulih,4,–,–,9,16,137
Kota Pagar Alam,1,–,3,4,17,133
Kota Lubuklinggau,4,2,–,10,18,104
Sumatera Selatan,70,15,113,237,485,6683
,,,,,,
Keterangan,,,,,,
Puskesmas yang teregistrasi/Registered Public Health Center,,,,,,
