Kabupaten/Kota,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk
Ogan Komering Ulu,2.4,92.8,3,0.79,–,29.28
Ogan Komering Ilir,4.5,93.2,18,3.26,–,17.93
Muara Enim,3.9,91.2,22,1.58,–,43.86
Lahat,2.9,78.6,5,1.12,–,37.31
Musi Rawas,2.4,94.7,8,1.23,0.01,15.45
Musi Banyuasin,4.1,86.9,20,2.79,0.01,22.66
Banyu Asin,5.7,94.7,9,2.86,–,17.5
Ogan Komering Ulu Selatan,2,93.6,5,5.66,–,25.22
Ogan Komering Ulu Timur,3.6,96.2,25,0.75,–,16.62
Ogan Ilir,2.5,92.6,9,2.09,–,20.42
Empat Lawang,1.4,75.1,2,1.46,–,11.4
Penukal Abab Lematang Ilir,1,92.8,5,11.35,–,54.27
Musi Rawas Utara,1.4,84,4,1.02,–,73.99
Kota Palembang,20.1,92.4,111,1.41,0.01,42.61
Kota Prabumulih,1.9,90.2,12,7.97,–,100.66
Kota Pagar Alam,1,72.6,2,0.68,–,40.59
Kota Lubuklinggau,2.6,95.7,14,0.82,0.09,43.21
Sumatera Selatan,63.4,91.5,274,2.32,0.01,31.5
,,,,,,
Keterangan,,,,,,
1 Data kasus AIDS pada publikasi tahun bersangkutan dapat berbeda dengan publikasi tahun sebelumnya dikarenakan terdapat penambahan kasus yang belum terlaporkan/The number of AIDS cases in the publication of the year may be different from the publication of the previous year because there are additional cases that have not been reported ,,,,,,
