Kabupaten/Kota,Ibu Kota Wilayah,Luas Wilayah (Km2),Persentase Terhadap Luas Wilayah,Jumlah Pulau
Ogan Komering Ulu,NaN,3774.5,4.35,–
Ogan Komering Ilir,NaN,17075.71,19.68,1
Muara Enim,NaN,6763.91,7.8,1
Lahat,NaN,4333.07,4.99,–
Musi Rawas,NaN,6122.59,7.06,...
Musi Banyuasin,NaN,14550.79,16.77,–
Banyu Asin,NaN,12258.59,14.13,20
Ogan Komering Ulu Selatan,NaN,4369.25,5.04,–
Ogan Komering Ulu Timur,NaN,3412.72,3.93,–
Ogan Ilir,NaN,2302.86,2.65,–
Empat Lawang,NaN,2234.1,2.57,–
Penukal Abab Lematang Ilir,NaN,1842.56,2.12,–
Musi Rawas Utara,NaN,5937.8,6.84,–
Kota Palembang,NaN,352.52,0.41,2
Kota Prabumulih,NaN,447.31,0.52,–
Kota Pagar Alam,NaN,625.91,0.72,–
Kota Lubuklinggau,NaN,367.73,0.42,–
Sumatera Selatan,NaN,86771.92,100,24
