Jenis Belanja,Realisasi Belanja Pemerintah (Ribu Rupiah),,,,,
,2020,2021,2022,2023,2024,2025
1. Belanja Tidak Langsung,6363663519,6412010938,6075559413,6068331200,7348188940,6244707486
1.1 Belanja Pegawai,1772464136,1923672647,2092571069,2188942727,2528391380,2827300220
1.2 Belanja Hibah,1776806966,1629473648,351202162.7,8817133.28,510541824.4,355997068.3
1.3 Belanja Bantuan Sosial,-,-,0,0,9981050,-
1.4 Belanja Bagi Hasil Kepada Provinsi/Kabupaten/Kota,1455636934,1579375913,1914984235,370266804,2399428901,1906130908
1.5 Belanja Bantuan Keuangan kepada Provinsi/Kabupaten/Kota dan Pemerintah Desa Keuangan Kepada Provinsi,1161651417,1265433632,1693390480,0,1896976799,1155245842
1.6 Belanja Tak Terduga,197104066.6,14055098.16,10183767.8,2179118759,82301,33448.11
2. Belanja Langsung,3154099975,3648719323,3578804488,1321185777,3551801010,6372198623
2.1 Belanja Pegawai,78196187.55,-,0,0,0,2827300220
2.2 Belanja Barang dan Jasa,1411206870,1811885209,2042434073,3610252957,2259381000,2197995080
2.3 Belanja Modal,1664696917,1836834114,1536370414,0,1292420010,1346903323
Jumlah,9517763494,10060730260,9654363901,2403806804,10899989949,12616906109
,,,,,,
Catatan,Sumber : Badan Pengelolaan Keuangan dan Aset Daerah Provinsi Sumatera Selatan,,,,,
