Kabupaten/Kota,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk
Ogan Komering Ulu,19,62,9,2.4,0.02,5.71
Ogan Komering Ilir,27,77,12,1.7,–,11.31
Muara Enim,33,32,9,3.1,0.04,29.69
Lahat,21,78,1,0.9,0.02,35.81
Musi Rawas,41,44,1,0.3,–,16.68
Musi Banyuasin,35,79,16,3.1,–,27.48
Banyu Asin,28,69,8,4.4,–,35.25
Ogan Komering Ulu Selatan,12,67,2,3.4,0.03,8.07
Ogan Komering Ulu Timur,21,64,6,1.2,0.01,30.16
Ogan Ilir,25,57,6,1.7,–,24.49
Empat Lawang,37,75,1,1.8,–,5.99
Penukal Abab Lematang Ilir,39,35,1,7.2,0.01,51.82
Musi Rawas Utara,45,93,–,–,–,14.3
Kota Palembang,29,67,63,1.4,–,26.07
Kota Prabumulih,43,32,3,1,–,125.26
Kota Pagar Alam,15,31,4,–,–,57.01
Kota Lubuklinggau,22,56,4,–,0.02,61.92
Sumatera Selatan,28,59,146,2.1,0.01,27.86
