Kabupaten/Kota,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,Jumlah Klinik Pratama,Jumlah Posyandu
Ogan Komering Ulu,3,5,7,11,18,363
Ogan Komering Ilir,2,–,17,16,31,820
Muara Enim,7,–,7,17,26,411
Lahat,3,1,11,24,15,454
Musi Rawas,2,–,12,7,23,313
Musi Banyuasin,3,–,6,23,33,514
Banyu Asin,6,–,7,26,41,722
Ogan Komering Ulu Selatan,1,–,7,12,7,323
Ogan Komering Ulu Timur,4,–,11,13,39,651
Ogan Ilir,3,–,8,17,14,343
Empat Lawang,2,–,4,6,7,177
Penukal Abab Lematang Ilir,2,–,1,8,4,125
Musi Rawas Utara,1,–,7,1,4,140
Kota Palembang,23,9,–,42,260,962
Kota Prabumulih,4,–,–,9,20,137
Kota Pagar Alam,1,–,3,4,20,133
Kota Lubuklinggau,4,2,–,10,24,105
Sumatera Selatan,71,17,108,246,586,6693
,,,,,,
Keterangan,,,,,,
Puskesmas yang teregistrasi/Registered Public Health Center,,,,,,
