Kabupaten/Kota,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Rumah Sakit,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Rumah Sakit Bersalin,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Poliklinik,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Puskesmas,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Puskesmas Pembantu,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Apotek
Ogan Komering Ulu,4,1,9,18,43,14
Ogan Komering Ilir,3,–,22,33,84,36
Muara Enim,6,–,14,23,83,20
Lahat,3,–,6,34,36,21
Musi Rawas,1,–,13,20,84,26
Musi Banyuasin,3,–,13,31,112,26
Banyu Asin,6,–,31,33,73,28
Ogan Komering Ulu Selatan,1,–,6,18,29,13
Ogan Komering Ulu Timur,4,–,26,21,57,39
Ogan Ilir,3,–,5,25,15,14
Empat Lawang,2,–,3,10,11,5
Penukal Abab Lematang Ilir,2,–,4,9,22,8
Musi Rawas Utara,1,–,2,8,53,8
Kota Palembang,22,5,59,39,51,83
Kota Prabumulih,4,–,11,8,23,19
Kota Pagar Alam,2,–,6,7,13,12
Kota Lubuklinggau,6,1,16,11,20,28
Sumatera Selatan,73,7,246,348,809,400
,,,,,,
Keterangan,,,,,,
1Desa pada tabel ini termasuk Unit Permukiman Transmigrasi (UPT) yang masih dibina oleh kementerian terkait dan nagari di Provinsi Sumatera Barat/ Villages in this table include Transmigration Settlement Unit which is still fostered by the relevant ministries and the nagari in the Province of Sumatera Barat ,,,,,,
