Kabupaten/Kota,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Rumah Sakit,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Puskesmas,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Puskesmas Pembantu,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Apotek,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Klinik Utama (Unit),Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Balai Kesehatan,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Klinik Pratama
Ogan Komering Ulu,4,18,44,16,–,–,8
Ogan Komering Ilir,3,32,83,39,4,–,19
Muara Enim,7,24,84,26,1,–,16
Lahat,3,34,35,24,–,–,4
Musi Rawas,2,20,89,35,2,–,12
Musi Banyuasin,3,30,112,29,2,–,14
Banyu Asin,6,32,72,30,2,–,32
Ogan Komering Ulu Selatan,1,20,29,14,–,–,6
Ogan Komering Ulu Timur,4,24,60,46,4,–,28
Ogan Ilir,2,25,15,17,1,–,5
Empat Lawang,2,10,13,6,–,–,3
Penukal Abab Lematang Ilir,2,9,20,8,1,–,2
Musi Rawas Utara,1,9,55,9,–,–,1
Kota Palembang,25,41,52,85,21,–,70
Kota Prabumulih,4,9,26,20,–,–,11
Kota Pagar Alam,1,7,19,13,–,–,5
Kota Lubuklinggau,6,10,24,27,3,–,8
Sumatera Selatan,76,354,832,444,41,–,244
,,,,,,,
Keterangan,,,,,,,
1Desa pada tabel ini termasuk Unit Permukiman Transmigrasi (UPT) yang masih dibina oleh kementerian terkait dan nagari di Provinsi Sumatera Barat/ Villages in this table include Transmigration Settlement Unit which is still fostered by the relevant ministries and the nagari in the Province of Sumatera Barat ,,,,,,,
"2Data provinsi tidak mencakup sebagian desa/kelurahan yang tidak berhasil dicacah karena kendala keamanan dan lainnya. Secara nasional, terdapat 152 desa/kelurahan yang tidak berhasil dicacah di Provinsi Papua, Papua Tengah, dan Papua Pegunungan/ Provincial data does not include some villages/subdistricts that were not successfully enumerated due to security and other constraints. Nationally, there are 152 villages/subdistricts that have not successfully enumerated in Papua, Papua Tengah, dan Papua Pegunungan.",,,,,,,
