month,group,total
2020-07,APD_HIGIENE,928054956.36
2020-07,BEDAH_OK,137871212.24
2020-07,DBD,28666860.0
2020-07,DIAGNOSTIK,24690909.091
2020-07,FARMASI,533991523.7
2020-07,IMUNISASI,159207491.0
2020-07,OBGYN,7200870.0
2020-07,OPERASIONAL_RS,81058747.3
2020-07,PANDEMI_COVID,429854540.0
2020-07,PERAWATAN_LUKA,9183418.182
2020-07,RESPIRATORIUM,133793032.02
2020-07,SPUIT_INJEKSI,111136438.47
2020-07,STERILISASI_CSSD,4430000.0
2020-07,UROLOGI,7906388.92
2020-08,APD_HIGIENE,594856357.3
2020-08,BEDAH_OK,121571657.32
2020-08,DBD,33337306.92
2020-08,DIAGNOSTIK,32581006.55
2020-08,FARMASI,71595311.5
2020-08,LABORATORIUM,132646000.0
2020-08,OPERASIONAL_RS,125808789.546
2020-08,PANDEMI_COVID,66909548.0
2020-08,PERAWATAN_LUKA,50200011.0
2020-08,RESPIRATORIUM,112732128.03999999
2020-08,SPUIT_INJEKSI,43515656.0
2020-08,STERILISASI_CSSD,1700000.0
2020-08,UROLOGI,12377000.0
2020-09,APD_HIGIENE,760587711.4
2020-09,BEDAH_OK,165280259.56
2020-09,DBD,57742161.9
2020-09,DIAGNOSTIK,73809136.462
2020-09,FARMASI,2844270.0
2020-09,IMUNISASI,2668273.0
2020-09,NEONATAL,8050000.0
2020-09,OBGYN,8026359.0
2020-09,OPERASIONAL_RS,149872282.182
2020-09,PANDEMI_COVID,312970836.0
2020-09,PERAWATAN_LUKA,43621730.0
2020-09,RESPIRATORIUM,59119009.56
2020-09,SPUIT_INJEKSI,69473764.0
2020-09,STERILISASI_CSSD,23010300.0
2020-09,UROLOGI,11102674.56
2020-10,APD_HIGIENE,1301547249.302
2020-10,BEDAH_OK,309665832.0
2020-10,CAPITAL_EQUIP,6649500.0
2020-10,DBD,185860299.43
2020-10,DIAGNOSTIK,75198000.0
2020-10,FARMASI,54888978.0
2020-10,OBGYN,21785295.0
2020-10,OPERASIONAL_RS,175814969.092
2020-10,PANDEMI_COVID,22283180.0
2020-10,PERAWATAN_LUKA,67802181.50999999
