barang_nama,total,n,qty
Disposable Syringe,59366781190.909,1620,11459530
Endotracheal Tube,21159942880.637,1309,34409
IV Cannula,13224149471.514,737,253488
Suction Catheter,12464402916.051,956,101791
Infusion Set,11398018602.268,656,365255
MF Cath Pro,10140426013.305,381,310095
Guedel Airway,9515732503.527,808,31630
2 Way Foley Catherer,9350764376.636,972,86893
Handscoon Non Steril,9152312335.128,177,30767
Laryngeal Mask Airway,8201805403.503,498,7834
Handscoon non sterile,8173047139.977,138,13665
Masker,7846846474.912,408,50086
2 Way Foley Catheter,7717436841.419,497,59374
IV Catheter ,7546172544.84,308,304164
Mask Nebulizer,7281399263.614,664,75365
Stomach Tube,6190056660.881,275,13102
Oxygen Mask Non Rebreathing,6046776286.868,595,57612
Assucryl 1,6028086777.734,600,29675
Nasal Oxygen Cannula,5729709281.585,432,60128
Assucryl 3/0,5515358240.5,462,20581
Handscoon Gynecology,5418146519.785,58,14656
Blood Transfusion Set,5333325016.858,453,155751
Latex Steril Surgical Glove,4640076806.257,98,53342
Masker N95,4553530430.0,53,14918
Spinocan,4253812313.349,224,21370
Paper Tape,4238134705.987,488,3219
Adhesive Wound Strip,4148803730.354,155,8023
Handscoon Sterile,4108489397.61,91,23545
Alcohol Swabs,3808109751.973,176,23496
Oxygen Nasal Cannula,3658005471.53,373,45649
Underpad,3593581465.568,144,52860
Nasal Cannula,3428307282.604,377,53953
Kassa ,3279374683.35,271,5396
3 Way Stop Cock,3239942467.474,272,76293
Feeding Tube,3178579430.75,279,8559
Surflo,3136778748.47,137,10824
High Elastic Bandage,3115316717.435,194,6021
Plain 2/0,3095572508.505,244,13392
Auto Destruct Syringe ,3092319324.577,24,909000
Silk 2/0,3045139314.107,332,10969
Urine Bag ,3008618973.62,415,52821
Assucryl 2/0,2910383151.408,228,10886
Povidine,2889947769.272,237,4682
Handscoon Non Sterile ,2887882760.705,119,6315
ID Band,2840416043.362,290,1641
Mess,2813849240.426,303,808
Breathing Circuit,2798612807.973,298,7830
Alkohol ,2767403387.628,155,6471
Equispon Standard,2757279215.149,508,11363
Chromic 2/0,2521801161.884,193,7571
Kassa Steril,2461262832.588,218,41664
Surgical Face Mask,2433197324.06,46,4990
Latex Powdered Gammex,2325881588.19,39,482
HMEF ,2316207654.326,224,8392
Apron ,2274951802.241,264,3652
KIT 3A,2230751364.4,32,7353
Kapsul Kosong,2226274058.215,184,2551
Infusion set,2205150646.96,154,36711
Electrode,2165284953.694,320,5649
Latex Steril Surgical Gloves,2161550317.403,128,49020
Rapid Tes,2086050026.0,10,5230
Endotracheal Tube ,1908075602.785,93,1363
Transparent Film Dresing,1866252762.728,126,1059
Surgical Conecting Tube,1811862207.712,266,22104
Electro Surgical Pencil,1783569843.246,163,6615
USG Paper,1783077031.492,216,1741
Film Island Dresing,1761520091.6299999,104,646
Spalak,1727643519.496,221,10566
Polypropylene 3/0,1704224809.822,151,5364
Silk 3/0,1680137204.434,217,6228
Apron,1670783368.83,151,7585
IV Catheter,1670028588.047,45,38397
Oxygen Mask Non Rebrithing,1654671952.059,123,9846
Handscoon non steril ,1550111809.82,66,4586
Oxygen Mask ,1531154919.568,111,13685
IV Catheter Non Injection,1523003608.69,22,53950
Vaseline Swab,1474011658.094,145,1961
Kacamata ,1443948000.0,8,1469
Umbilical Cord Klem,1423447221.341,133,572
ECG RED ROLL,1303510060.539,230,2251
Needle Agani,1288098603.938,87,643
Strip,1274708646.53,47,1622
Surgical Face Mask ,1262714794.382,34,6342
Fuji Film DIHL,1261458185.072,50,221
Face Mask,1212333719.835,22,8595
Polypropylene 2/0,1182570478.572,94,3144
Pot Urine,1155682578.9819999,235,67401
Blood Lancet,1154510781.61,78,1732
Oxygen Mask,1131010338.535,45,14415
Assucryl 4/0,1129771122.693,91,2556
Extention Tube ,1117548138.379,48,2875
Chromic 3/0,1110793615.481,105,3948
Gypsona,1095538414.65,38,893
Film  DIHL,1075158511.933,65,189
Safety Box,1067066988.263,86,11855
Ultrasound Gell,1050195762.067,99,6295
Polypropylene 4/0,1013529070.88,77,2724
Silk 1,1008076417.878,116,3600
Finger,963884205.07,80,2403
Oxygen Mask Rebreathing,947570154.219,22,16757
Pouches Gussete,924524940.539,47,170
Bouffant,910066609.177,114,1030
ECG Red Roll,904003821.438,108,136618
Gauze Swab,892186976.935,74,13385
Handscoon non steril,891412272.77,34,1402
Hazmat Protective With Cover Shoes,884277500.0,5,2500
Kasa Hidrofil ,882503416.446,30,11095
Chromic 1,872143617.093,58,2784
Finger Bandage,871719367.052,91,1368
Baju APD,847410909.1600001,9,1547
Spalak ,837247959.052,111,4996
Syringe,834207238.89,100,916
2 Way Folley Catheter ,751463602.454,39,16330
Nebulizer Mask ,723887542.969,84,8456
Safety Box--5L ,710950536.54,13,2796
CVC Triple Lumen,710909909.811,58,355
Coverall,703655000.0,20,3611
Kassa Hidrofil,701832369.982,13,20314
Plain 3/0 ,688103466.65,53,2364
Assucryl 5/0,677371516.401,33,1020
Alkohol,669315537.238,54,1395
Alcohol  Swabs,665147499.101,29,6230
Modified Jeckson ,659018523.462,44,254
IV Catheter With Injetion,648895775.596,38,9950
Silk 0,644765438.021,59,1668
Visor,643726180.0,6,790
Catrheter Mount Expandable ,643396030.539,82,3106
Pouches Flat,634097783.421,33,80
Urine Bag,619246824.925,56,6922
Masker ,617697237.934,43,57658
Elektroda,617145488.641,65,5128
Surgical Conecting,615264189.64,103,8851
Spike,602702438.456,49,7370
Disposable Adult Grounding PAD,601433747.068,68,2485
IV Catheter Injection Port With Wing,591497751.114,51,12250
3 Way Foley Catherer,574984119.117,89,1507
Laminaria,573423701.308,44,646
Transparent IV Dresing,570237715.887,65,401
3 Way Foley Catheter,568215809.52,102,1477
Kasa Hidrofil,558739662.811,39,17030
Soffban ,558599298.39,26,693
Alkohol 95%,556041243.665,11,1186
Blood Transfusion Set Airvent Type Y,554480653.84,42,20600
Sepatu,551795363.64,6,305
Nihon Kohden,545615652.71,44,567
IV Canula With Injection,542859536.61,35,2679
Nebulizer,534705323.015,47,6995
Film DIHL,526246455.054,32,101
ECG Paper / Fukuda,508608888.548,79,1273
Kit 3C ,501902568.0,7,1177
Zinc Oxide Adhesive Plaster,499785203.94299996,27,971
Syringe ,497252623.958,70,1414
Stethoscope,495155780.377,21,54
Xylocaine ,489951685.25,15,1080
Mask Anaesthesia,483635900.699,31,382
Polypropylene 5/0,476948498.6,45,1092
ECG Red Roll CSO,462191145.182,23,209
Arm Sling Comfort,460731455.8,39,441
H2O2,457127951.12,34,284
Silk 4/0,446500467.143,70,1464
Virus Sampling Tuibe,445340800.0,6,29
Filaprop Mesh,445021497.379,42,517
Povidine ,441628673.7,26,6605
Handscoon Non Steril ,437720961.201,54,3028
Rapit Tes ,429279238.2,54,443
Plastik Obat,428612429.0,16,1115
Pouches Sterilization Gussete,423670792.0,35,104
Urine Bag Premium,423489261.76,69,9030
Litmus Paper,422954156.808,10,277
Plain 0,421713193.524,89,2100
Needle Hecting,418938703.0,8,89
Polypropylene 1,417632306.4,39,1224
Chlorhexidine,412369563.34,20,1190
Shoe Cover,409878616.972,49,62854
Assucryl 6/0 ,403974255.2,10,480
CVC Double Lumen ,403599369.4,16,70
Handscoon sterile,401049216.341,17,1131
Arm Sling ,394619065.43,45,451
Blood Tranfusion Set Type Y,379516263.809,44,8728
First Care Alkohol ,378732964.63699996,12,978
Thoracic Cathetew With Trocar,378655071.744,58,264
Guedel Airway ,377871755.54399997,41,466
Pouches Sterilization Gussete ,375288159.01,16,118
Handscoon Non Sterile,369366336.717,33,1475
Coverall ,354156636.36,5,2131
Plastik Asoy,350022524.0,12,1760
Thermal Blank,346057768.77,96,1389
Transofix,345453134.09000003,31,6750
Paket SC,340200745.957,27,901
Pencil Cauter,338581220.595,29,1655
ECG RED ROLL 50x30x16mm,337975497.661,36,820
Pot Urine ,336840860.828,49,18140
Equiwax,335222181.447,51,1271
Surfloo,327588027.024,13,1315
Intubating Stylet,327382562.686,5,460
Nurse Cap - ,324081057.0,30,1143
N95 Mask ,322853755.836,18,6800
Transparent Wound Dresing ,319085729.918,24,111
Neonatal Nasal Ventilation Double Tube 8Fr,318586268.669,56,192
Long Sleeve,316618931.82,32,619
Plain 4/0,313945127.037,19,708
Sofnolime,313210231.762,53,100
